institution	broad_subject_letters	N_in_broad	totalinst	subject_letters	N_in_subject	percent_in_category	percent_in_institution	subject
HUL	D	247607	1653063	DJK	802	0	0	Eastern Europe (General)
HUL	K	146458	1653063	KBP	279	0	0	Islamic law
HUL	K	146458	1653063	KZ	1863	0.01	0	Law of nations
HUL	G	43854	1653063	GE	1938	0.04	0	Environmental Sciences
HUL	D	247607	1653063	DE	461	0	0	Greco-Roman World
HUL	K	146458	1653063	KBU	203	0	0	Law of the Roman Catholic Church. The Holy See
HUL	L	29549	1653063	LG	869	0.03	0	Individual institutions - Asia, Africa, Indian Ocean islands, Australia, New Zealand, Pacific islands
HUL	K	146458	1653063	KJ	1091	0.01	0	Europe
HUL	R	21379	1653063	RT	321	0.02	0	Nursing
HUL	U	12403	1653063	UF	284	0.02	0	Artillery
HUL	D	247607	1653063	DX	387	0	0	History of the Romani people
HUL	K	146458	1653063	KU	585	0	0	Law of Australia and New Zealand
HUL	A	16181	1653063	AE	106	0.01	0	Encyclopedias
HUL	M	23085	1653063	MT	1091	0.05	0	Instruction and study
HUL	T	32130	1653063	TG	190	0.01	0	Bridges
HUL	R	21379	1653063	RK	69	0	0	Dentistry
HUL	Q	43216	1653063	QM	210	0	0	Human anatomy
HUL	Z	16757	1653063	ZA	380	0.02	0	Information resources/materials
HUL	K	146458	1653063	KDZ	278	0	0	America. North America
HUL	V	3714	1653063	VA	629	0.17	0	Navies: Organization, distribution, naval situation
HUL	V	3714	1653063	VE	93	0.03	0	Marines
HUL	R	21379	1653063	RE	74	0	0	Ophthalmology
HUL	C	17042	1653063	CE	161	0.01	0	Technical Chronology. Calendar
HUL	A	16181	1653063	AY	73	0	0	Yearbooks. Almanacs. Directories
HUL	D	247607	1653063	DAW	131	0	0	Central Europe
HUL	K	146458	1653063	KBR	102	0	0	History of canon law
HUL	R	21379	1653063	RZ	106	0	0	Other systems of medicine
HUL	K	146458	1653063	KL	43	0	0	Asia and Eurasia, Africa, Pacific Area, and Antarctica
HUL	V	3714	1653063	VB	64	0.02	0	Naval administration
HUL	V	3714	1653063	VG	134	0.04	0	Minor services of navies
HUL	R	21379	1653063	RX	71	0	0	Homeopathy
HUL	A	16181	1653063	AG	165	0.01	0	Dictionaries and other general reference works
HUL	V	3714	1653063	VC	24	0.01	0	Naval maintenance
HUL	U	12403	1653063	UE	46	0	0	Cavalry. Armor
HUL	L	29549	1653063	LT	7	0	0	Textbooks
HUL	A	16181	1653063	AI	12	0	0	Indexes
HUL	L	29549	1653063	LJ	11	0	0	Student fraternities and societies, United States
HUL	K	146458	1653063	KBM	63	0	0	Jewish law
HUL	K	146458	1653063	KB	18	0	0	Religious law in general. Comparative religious law. Jurisprudence
HUL	R	21379	1653063	RF	28	0	0	Otorhinolaryngology
HUL	V	3714	1653063	VF	18	0	0	Naval ordnance
HUL	R	21379	1653063	RL	30	0	0	Dermatology
HUL	R	21379	1653063	RV	2	0	0	Botanic, Thomsonian, and Eclectic medicine
HUL	J	58721	1653063	JJ	4	0	0	Political institutions and public administration (North America)
HUL	L	29549	1653063	LH	6	0	0	College and school magazines and papers
HUL	K	146458	1653063	KBT	2	0	0	Canon law of Eastern Rite Churches in Communion with the Holy See of Rome
HUL	K	146458	1653063	KBS	5	0	0	Canon law of Eastern churches
HUL	A	16181	1653063	AN	2	0	0	Newspapers
